Contract_Title,Contract_Value,Supplier_Name,Award_Date,matched_sponsor,Town/City,Route
RDE811 - F6a. Passive sampling biota replacement feasibility study (freshwater),50000.0,UK CENTRE FOR ECOLOGY & HYDROLOGY (UKCEH),2025-07-07,UK CENTRE FOR ECOLOGY & HYDROLOGY,Wallingford,Government Authorised Exchange  / Skilled Worker
DOCKER FOR BUSINESS LICENCES (FY2025-26),15000.0,INSIGHT DIRECT (UK) LTD,2025-07-03,INSIGHT DIRECT (UK) LTD,Sheffield,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
DMS Delivery Management Service,580060.0,MERCATOR IT SOLUTIONS LTD,2025-07-03,MERCATOR IT SOLUTIONS LTD,Crowborough,Skilled Worker
UHB Assurance Dashboard,112371.13,INSIGHT DIRECT (UK) LTD,2025-07-03,INSIGHT DIRECT (UK) LTD,Sheffield,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Mapping and Spatial  software suite,73895.0,ESRI (UK) LTD,2025-07-02,ESRI (UK) LTD,Aylesbury,Skilled Worker
DDaT25253 - Hardware - Laptops,51179.0,STONE TECHNOLOGIES LTD,2025-07-01,STACKONE TECHNOLOGIES LTD,Newbury,Skilled Worker
Supply of E-Books,2644645.0,KORTEXT LIMITED,2025-06-30,KORTEXT LIMITED,Bournemouth,Skilled Worker
TEN-2526-017(PCR2015) Gartner Research Services,65000.0,GARTNER UK LIMITED,2025-06-30,GARTNER UK LIMITED,Egham,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Catering Contractor Procurement,289166.44,INTERNATIONAL FOOD SERVICE EQUIPMENT LTD,2025-06-27,INTERNATIONAL FOOD SERVICE EQUIPMENT LTD,CROYDON,Skilled Worker
Leisure Centre PSCA RIBA 4 via SCAPE Construction Framework,1510153.0,MORGAN SINDALL CONSTRUCTION & INFRASTRUCTURE LTD,2025-06-27,MORGAN SINDALL CONSTRUCTION & INFRASTRUCTURE LTD,Rugby,Skilled Worker
Landscape Study Procurement,43137.0,HANKINSON DUCKETT ASSOCIATES LIMITED,2025-06-26,HANKINSON DUCKETT ASSOCIATES LTD,Wallingford,Skilled Worker
LCC Transport Services - BPB - School Transport - SEND Schools - Taxi - BPB000124 - North,1615815.1,G-CARS,2025-06-25,F G CARS LTD,Loughborough,Skilled Worker
Cloud-based Revenues and Benefits  and Housing Information Technology Managed Service,0.0,NEC SOFTWARE SOLUTIONS UK LIMITED,2025-06-25,FZ SOFTWARE SOLUTIONS LIMITED,Ilford,Skilled Worker
380_25 Supply of Catalogue Printing Services for ESPO,1200000.0,WALSTEAD ROCHE LIMITED,2025-06-24,WALSTEAD ROCHE LIMITED,St Austell,Skilled Worker
380_25 Supply of Catalogue Printing Services for ESPO,1200000.0,STERLING PRESS LIMITED,2025-06-24,STERLING,Harrow,Skilled Worker
DNO/464 - Enterprise Portfolio Strategy Implementation - P2 - CAN,1000000.0,KPMG LLP,2025-06-23,KPMG LLP,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Call-off contract for the provision of resettlement services,30000.0,BRITISH REFUGEE COUNCIL,2025-06-23,BRITISH COUNCIL,London,Global Business Mobility: Senior or Specialist Worker / Government Authorised Exchange  / Skilled Worker
ITEP0961 - Lumivero @Risk,57571.59,LUMIVERO UK LIMITED,2025-06-22,LUMIVERO UK LIMITED,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Food to Go DPS Contract Award Notices June 2025 - August 2025,78831476.0,RAYNOR FOODS,2025-06-19,RAYNOR FOODS LTD,Chelmsford,Skilled Worker
Food to Go DPS Contract Award Notices June 2025 - August 2025,78831476.0,TIFFIN SANDWICHES LTD,2025-06-19,TIFFIN SANDWICHES LTD,Bradford,Skilled Worker
Design and Construction of a new Police Station at Dovercourt,3962459.02,PENTACO CONSTRUCTION LTD,2025-06-18,CONSTRUCTION 5 LTD.,Leicester,Skilled Worker
The Weald Community School and 6th Form ~ Catering Tender,3365791.0,ABM CATERING LIMITED,2025-06-13,3 CATERING LIMITED,Oxford ,Skilled Worker
"Skills Bootcamp - Wave 6, Round 1 - Category 6, Information and Communication Technology (ICT)",1072500.0,FAREPORT TRAINING ORGANISATION LIMITED,2025-06-13,FAREPORT TRAINING ORGANISATION LIMITED,Fareham,Skilled Worker
36132 HINCKLEY HOUSE SCHOOL,83616.0,ASA TRANSPORT,2025-06-13,AA TRANSPORT,Springfield,Skilled Worker
"Skills Bootcamp - Wave 6, Round 1 - Category 5, Construction, Planning and the Built Environment",424500.0,WISE TRAINING STREETWORKS & CONSTRUCTION LTD,2025-06-13,WISE,High Wycombe,Religious Worker / Tier 2 Ministers of Religion
CON_27708 ServiceNow Implementation Partner,269992.0,DEVOTEAM LTD,2025-06-13,DEVOTEAM UK LTD,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
LSF - Lot 2 (DA) - Fair Oak Infant School - Removal and Repair of Log Retaining Wall - AWARD,41336.65,SCANDOR LANDSCAPE CONTRACTORS LTD,2025-06-13,G CONTRACTORS LTD.,Hounslow,Skilled Worker
GB-Liverpool: LW123 Carbon Management Support,30000.0,CARBON GREEN LTD,2025-06-12,CARBON GREEN LTD (MYCARBON),London,Skilled Worker
Call Off Contract for an Email Communications Platform,75650.0,FORFRONT LTD,2025-06-11,FORFRONT LTD,"Epsom,",Skilled Worker
713225450 - CARP Testing and Exercising,922988.0,DELOITTE LLP,2025-06-11,DELOITTE LLP,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
External Financial Advisory Support for Existing Nuclear Projects,1000000.0,PA CONSULTING GROUP LIMITED,2025-06-10,BLAYZE CONSULTING GROUP LIMITED,London,Skilled Worker
Biological Services- Models Cryopreservation of MHRA Breeding Stock,80000.0,CHARLES RIVER U.K. LIMITED,2025-06-09,U & K LIMITED,London,Skilled Worker
Cornwall Badger Vaccination Pilot,1370231.07,NFU,2025-06-06,NFU MUTUAL (SERVICE COMPANY) LIMITED,Warwickshire,Skilled Worker
THRE02-B07 Technical Advisors to support the Rail Contract Projects,41400.0,OVE ARUP & PARTNERS LTD,2025-06-06,OVE ARUP AND PARTNERS INTERNATIONAL LTD,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
NHS Login Transform 2,16250000.0,HIPPO DIGITAL LIMITED,2025-06-06,HIPPO DIGITAL LIMITED,Leeds,Skilled Worker
Gates - Lambeth HQ - Lot 1,249253.5,AXIS EUROPE,2025-06-06,AXIS SPECIALTY EUROPE SE,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Contract for Provision of MODICM Study Support KCL,35408.67,KING'S COLLEGE LONDON BUSINESS LIMITED,2025-06-04,KING'S COLLEGE LONDON BUSINESS LIMITED,Newquay,Skilled Worker
Front Gates - Lambeth Lot 2,267312.09,AXIS EUROPE,2025-06-02,AXIS SPECIALTY EUROPE SE,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Consultancy - Workstream lead,195781.51,CONSULTANCY+,2025-05-30,1ST CHOICE CONSULTANCY LTD,Birmingham,Skilled Worker
the Local Government Reorganisation (LGR) and Devolution Consultant,53688.01,JIGSAW BOX CONSULTING LIMITED,2025-05-29,JIGSAW +,Cranleigh,Skilled Worker
Corner Plot - EA & QS,49639.5,WALKER SIME LTD,2025-05-28,WALKER SIME,Manchester ,Skilled Worker
Loughborough Town Phase 3 LBS Tender Round 4 (Route 3/13 & 5A),31968.0,VECTARE LIMITED,2025-05-28,VECTARE LIMITED,Nottingham,Skilled Worker
Water Treatment Plant,125639.03,PROECONOMY LIMITED,2025-05-26,PRECONOMY LIMITED,Mansfield,Skilled Worker
Contract Award Notice Detection Maintenance and Consumables 2024 Extension (December),89524.0,RAPISCAN SYSTEMS LTD,2025-05-22,RAPISCAN SYSTEMS LTD,Salfords,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
"Edgware Hospital - Healthcare Planning, Construction Consultancy and Ancillary Services.",40000.0,DREES AND SOMMER UK LIMITED,2025-05-22,DREES & SOMMER UK LIMITED,Manchester,Skilled Worker
Canon Infinix Maintenance,102939.68,CANON MEDICAL SYSTEMS LIMITED,2025-05-21,GE MEDICAL SYSTEMS LIMITED,Chalfont St. Giles,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Consultancy - HR/Payroll SME,128953.99,CONSULTANCY+,2025-05-20,1ST CHOICE CONSULTANCY LTD,Birmingham,Skilled Worker
BSMHFT Shared Care Record,1650284.0,INTERSYSTEMS CORPORATION (UK),2025-05-15,INTERSYSTEMS,Windsor,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Business Travel (via SUPC Framework Agreement),12000000.0,DIVERSITY TRAVEL LIMITED,2025-05-14,DIVERSITY TRAVEL,Manchester,Skilled Worker
HRE - CLOSED BRANCH LINES MINOR WORKS - BUI/37 Quinny Brook 10' culvert at Marshbrook - Scour coring works.,15593.1,AMCO,2025-05-14,AMCO ACCOUNTANTS LTD,Wimbledon,Skilled Worker
MESMAC - Fast-Track Cities Community Grants,10000.0,YORKSHIRE MESMAC,2025-05-14,YORKSHIRE MESMAC,Leeds,Skilled Worker
MWF - Lot 7 - Wolverdene Special School - Emergency Lighting Upgrade - AWARD,21822.52,GREEN BUILDING MAINTENANCE LIMITED,2025-05-14,MIP BUILDING MAINTENANCE LIMITED,London,Skilled Worker
ESC048/2025 Middlesbrough Programmed Footway Works 2024/2025,70000.0,TARMAC TRADING LIMITED,2025-05-14,TARMAC TRADING LIMITED,Solihull,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Energy Bureau Services,226000.0,SMS ENERGY SERVICES LIMITED,2025-05-14,STEM ENERGY SERVICES LIMITED,Aberdeen,Skilled Worker
Canine Currency Detection Research,149830.0,BOURNEMOUTH UNIVERSITY,2025-05-14,BOURNEMOUTH UNIVERSITY,Poole,Government Authorised Exchange  / Skilled Worker
TC040- Surfacing of Carriageways and Footways Framework,48000000.0,J. HOPKINS (CONTRACTORS) LIMITED,2025-05-13,MK CONTRACTORS LIMITED,Bedfordshire,Skilled Worker
JFrog Enterprise Edition Renewal 2025,38476.17,TRUSTMARQUE SOLUTIONS LIMITED,2025-05-13,TRUSTMARQUE SOLUTIONS LIMITED,York,Skilled Worker
Future Sheffield Transformation Programme SoW 2025-001,1404000.0,PRICEWATERHOUSECOOPERS LLP (PWC),2025-05-13,PRICEWATERHOUSECOOPERS LLP,London,Global Business Mobility: Graduate Trainee / Global Business Mobility: Senior or Specialist Worker / Skilled Worker
TC040- Surfacing of Carriageways and Footways Framework,48000000.0,TARMAC TRADING LIMITED,2025-05-13,TARMAC TRADING LIMITED,Solihull,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
NC760 Window and High Level Cleaning,300000.0,ANTAC SUPPORT SERVICES LTD,2025-05-12,ANTAC SUPPORT SERVICES LTD,High Wycombe,Skilled Worker
"Supply of Training, Learning and Development Solutions",1.0,INSTITUTE OF DIRECTORS,2025-05-12,INSTITUTE OF DIRECTORS,London,Skilled Worker
Lease of x3 Nissan Primaster Tekna l2 H1 Crew cabs,117021.6,ATHLON MOBILITY SERVICES UK LIMITED,2025-05-12,ATHLON MOBILITY SERVICES UK LIMITED,Milton Keynes ,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
"ITT for Project 600645, 600641",17160.0,MAYFLOWER INNOVATION LIMITED,2025-05-12,MAYFLOWER,Flitwick,Skilled Worker
"Supply of Training, Learning and Development Solutions",1.0,OPTIMA TRAINING AND  CONSULTANCY,2025-05-12,OPTIMA TRAINING & CONSULTANCY LIMITED,Harlow,Skilled Worker
"Supply of Training, Learning and Development Solutions",1.0,THE UNIVERSITY OF KENT,2025-05-12,UNIVERSITY OF KENT,Canterbury,Government Authorised Exchange  / Skilled Worker
"Supply of Training, Learning and Development Solutions",1.0,REAL GROUP LTD,2025-05-12,REAL GROUP LTD,Canterbury,Skilled Worker
"Supply of Training, Learning and Development Solutions",1.0,KPMG LLP,2025-05-12,KPMG LLP,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Refurbishment and Repairs to Vacant Properties (Voids),17268026.3,CARDO (WALES & WEST) LIMITED,2025-05-12,CARDO (WALES & WEST) LIMITED,Cardiff,Skilled Worker
WNC Mystery Traveller Consultancy Service,26410.4,SYSTRA LTD,2025-05-12,SYSTRA LTD,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
"Supply of Training, Learning and Development Solutions",1.0,PREMIER PEOPLE SOLUTIONS LTD T/A PREMIER PARTNERSHIP,2025-05-12,A.T.E. SOLUTIONS LTD,Blisworth,Skilled Worker
"Supply of Training, Learning and Development Solutions",1.0,ASTUTIS LTD,2025-05-12,ASTUTIS LTD,CARDIFF,Skilled Worker
System Integration and Programme Management Services,36000000.0,CAPGEMINI UK PLC,2025-05-09,CAPGEMINI UK PLC,London,Global Business Mobility: Graduate Trainee / Global Business Mobility: Senior or Specialist Worker / Skilled Worker
"ITT for Project 600648, 600647",15200.0,SANDHILLS MANAGEMENT CONSULTANCY LIMITED,2025-05-09,BN MANAGEMENT CONSULTANCY LIMITED,Ilford,Skilled Worker
HMLR701120 - SCS Recruitment - Product and Service Design.,20495.0,GLOBAL RESOURCING LTD,2025-05-07,GLOBAL RESOURCING,Watford,Skilled Worker
HMLR701096 - SCS Recruitment - Product and Service Design.,20495.0,GLOBAL RESOURCING LTD,2025-05-07,GLOBAL RESOURCING,Watford,Skilled Worker
THM - AOMR Lot 1 - Temple Footbridge Centre Span Removal,176119.37,JACKSON CIVIL ENGINEERING LIMITED,2025-05-07,FG ENGINEERING+ LIMITED,London,Skilled Worker
Managed Service Provider (MSP) Staffing,30000000.0,ADECCO UK LIMITED,2025-05-06,ADECCO UK LIMITED,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
CWC24168 - Northwood Park Improvements,334303.32,JP LANDSCAPES & CONSTRUCTION LTD,2025-05-01,CONSTRUCTION 5 LTD.,Leicester,Skilled Worker
"Renewable Heating Systems - Servicing, Maintenance, Repairs & Installation",1500000.0,LOW CARBON EXCHANGE LIMITED,2025-05-01,LOW CARBON LIMITED,Exeter,Skilled Worker
HMLR701104 - Legal Advice Service,20000.0,WARD HADAWAY LLP,2025-05-01,WARD HADAWAY LLP,Newcastle upon Tyne,Skilled Worker
Subscription Based Research Services,136450.0,GARTNER UK LIMITED,2025-04-30,GARTNER UK LIMITED,Egham,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
"Complex Project Works, Major Voids, Major / Long-term Decants, Insurance Works, and Equipment & Adaptations for London, Kent, Sussex, Hampshire",780000.0,CORIN DUDLEY ELECTRICAL SERVICES LIMITED,2025-04-23,CORIN LIMITED,Cirencester,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
SKDC Upgrade to Adelante SmartPay 6 - Income Management and Cash Receipting,124649.49,ADELANTE SOFTWARE LTD,2025-04-21,ADELANTE SOFTWARE LTD,Maidenhead,Skilled Worker
Internal Audit Services,115000.0,H W CONTROLS & ASSURANCE LTD (TRADING AS VALIDERA),2025-04-16,K W TRADING LTD,Bournemouth,Skilled Worker
618467 A628 Crowden to Salters Brook Pavement,3863490.92,TARMAC TRADING LIMITED,2025-04-16,TARMAC TRADING LIMITED,Solihull,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Transport Professional Services Framework (2025),120000000.0,WARD HADAWAY LLP,2025-04-15,WARD HADAWAY LLP,Newcastle upon Tyne,Skilled Worker
Transport Professional Services Framework (2025),120000000.0,WEIGHTMANS LLP,2025-04-15,WEIGHTMANS LLP,Liverpool,Skilled Worker
Transport Professional Services Framework (2025),120000000.0,ERNST & YOUNG LLP,2025-04-15,ERNST & YOUNG,London,Global Business Mobility: Graduate Trainee / Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Transport Professional Services Framework (2025),120000000.0,IPSOS LIMITED,2025-04-15,IPSOS MORI UK LIMITED,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Transport Professional Services Framework (2025),120000000.0,EGIS UK - CONSULTING AND ENGINEERING LIMITED,2025-04-15,EGIS UK - CONSULTING AND ENGINEERING LIMITED,London,Skilled Worker
Transport Professional Services Framework (2025),120000000.0,DLA PIPER UK LLP,2025-04-15,DLA PIPER UK LLP,London,Global Business Mobility: Graduate Trainee / Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Transport Professional Services Framework (2025),120000000.0,JACOBS U.K LIMITED,2025-04-15,U & K LIMITED,London,Skilled Worker
Transport Professional Services Framework (2025),120000000.0,STEER DAVIES & GLEAVE LTD,2025-04-15,STEER DAVIES & GLEAVE LTD,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Transport Professional Services Framework (2025),120000000.0,OVE ARUP & PARTNERS LIMITED,2025-04-15,L & L PARTNERS LIMITED,Stockton-On-Tees,Skilled Worker
Transport Professional Services Framework (2025),120000000.0,PHIL JONES ASSOCIATES LIMITED,2025-04-15,PHIL JONES ASSOCIATES LTD,Birmingham,Skilled Worker
Transport Professional Services Framework (2025),120000000.0,PINSENT MASONS LLP,2025-04-15,PINSENT MASONS LLP,Birmingham,Global Business Mobility: Graduate Trainee / Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Transport Professional Services Framework (2025),120000000.0,MACE CONSULT LIMITED,2025-04-15,MACE CONSULT LIMITED,London,Skilled Worker
Transport Professional Services Framework (2025),120000000.0,STANTEC UK LTD,2025-04-15,STANTEC UK LTD,Warrington,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Transport Professional Services Framework (2025),120000000.0,KPMG LLP,2025-04-15,KPMG LLP,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Transport Professional Services Framework (2025),120000000.0,JONES LANG LASALLE LTD,2025-04-15,JONES LANG LASALLE SERVICES LTD,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Transport Professional Services Framework (2025),120000000.0,CURRIE & BROWN UK LIMITED,2025-04-15,CURRIE & BROWN INTERNATIONAL LIMITED,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Transport Professional Services Framework (2025),120000000.0,CITISENSE LTD,2025-04-15,CITISENSE LTD,London,Scale-up
Transport Professional Services Framework (2025),120000000.0,PELL FRISCHMANN CONSULTANTS LTD,2025-04-15,PELL FRISCHMANN CONSULTANTS LTD,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Transport Professional Services Framework (2025),120000000.0,BDRC CONTINENTAL LIMITED,2025-04-15,BDRC CONTINENTAL LIMITED TRADING AS BVA BDRC,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Transport Professional Services Framework (2025),120000000.0,ATKINSRÉALIS UK LIMITED,2025-04-15,ATKINSREALIS UK LIMITED,London,Global Business Mobility: Graduate Trainee / Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Transport Professional Services Framework (2025),120000000.0,ARCADIS CONSULTING (UK) LIMITED,2025-04-15,4S UK CONSULTING LIMITED,Reading,Skilled Worker
Transport Professional Services Framework (2025),120000000.0,CBRE LIMITED,2025-04-15,CBRE LIMITED,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Transport Professional Services Framework (2025),120000000.0,WSP UK LIMITED,2025-04-15,KWS UK LIMITED,Royston ,Global Business Mobility: Graduate Trainee / Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Transport Professional Services Framework (2025),120000000.0,BWB CONSULTING LIMITED,2025-04-15,BB7 CONSULTING LIMITED,Chatham,Skilled Worker
Transport Professional Services Framework (2025),120000000.0,AECOM LIMITED,2025-04-15,AECOM LIMITED,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Transport Professional Services Framework (2025),120000000.0,ADDLESHAW GODDARD LLP,2025-04-15,ADDLESHAW GODDARD LLP,London,Global Business Mobility: Graduate Trainee / Global Business Mobility: Senior or Specialist Worker / Skilled Worker
P4104103 Legal Advisers for the Future Borders Policy Team,45000.0,DLA PIPER UK LLP,2025-04-14,DLA PIPER UK LLP,London,Global Business Mobility: Graduate Trainee / Global Business Mobility: Senior or Specialist Worker / Skilled Worker
CA15682 - MAINT6580 - RFL - Brevera biopsy system BVB00104 for the period 19.3.25 - 30.9.27. maintenance contract,10177.99,HOLOGIC LTD.,2025-04-14,HOLOGIC LTD,Manchester,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Utilities Bureau and Software Platform - AWARD,0.0,SMS ENERGY SERVICES LIMITED,2025-04-14,STEM ENERGY SERVICES LIMITED,Aberdeen,Skilled Worker
"AWE005 0900 2025-04-14 Leiston to Potsford Farm, Wickham Market Road Letheringham Suffolk IP13 0NB (4-seater vehicle required) - AWARD",9085.44,A R CARS LTD,2025-04-14,R&R CARS LTD,Slough,Skilled Worker
GSCIP Datasets: Lot 1 Generalist Company and Supply Level Data - S&P,840000.0,S&P GLOBAL LIMITED,2025-04-14,S&P GLOBAL LIMITED,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
P4104017 - Legal Advisers for the STARThree Framework,200000.0,SHARPE PRITCHARD LLP,2025-04-14,SHARPE PRITCHARD LLP,London,Skilled Worker
Refurbishment of Play Area,41931.71,KOMPAN LIMITED,2025-04-09,SKOMPA LIMITED,Londonderry,Skilled Worker
Building Retrofit & Refurbishment/Improvement Works Framework,37500000.0,BELL GROUP LIMITED,2025-04-08,BELL GROUP U.K. LIMITED,airdrie,Skilled Worker
Cash In Transit - Premises collection and Parking Machines,99000.0,RMS CASH SOLUTIONS LTD TRADING AS PIVOTAL,2025-04-08,RMS CASH SOLUTIONS LTD T/A PIVOTAL,Belfast,Skilled Worker
LCF11 - Greenwood Academy - Pype Hayes Ward Site - AWARD,130650.0,HAYSTOUN CONSTRUCTION LTD,2025-04-08,HAYSTOUN CONSTRUCTION LTD,Kenilworth,Skilled Worker
Building Retrofit & Refurbishment/Improvement Works Framework,37500000.0,CLC CONTRACTORS LIMITED,2025-04-08,MK CONTRACTORS LIMITED,Bedfordshire,Skilled Worker
EV Fuel Cards for BUS Vehicles  - AWARD,0.0,ALLSTAR BUSINESS SOLUTIONS LTD,2025-04-07,G3 BUSINESS SOLUTIONS LTD,Bradford,Skilled Worker
GB-Manchester: ACE 683 CCS - Senior Recruitment Campaign for Midlands Area Director,20000.0,GREEN PARK INTERIM AND EXECUTIVE LTD,2025-04-04,GREEN PARK INTERIM & EXECUTIVE LTD,Victoria,Skilled Worker
Homes England-Property and Financial Services Framework-Valuation Barking Riverside,45950.0,AVISON YOUNG,2025-04-04,AVISON YOUNG (UK) LIMITED,Birmingham,Skilled Worker
Appointment of an Occupational Health Provider,270000.0,HEALTH PARTNERS GROUP LIMITED,2025-04-03,L & L PARTNERS LIMITED,Stockton-On-Tees,Skilled Worker
Salary Sacrifice Additional Voluntary Contributions,0.0,AVC WISE LIMITED,2025-04-02,WISE,High Wycombe,Religious Worker / Tier 2 Ministers of Religion
Adobe Licenses,96582.7,BYTES SOFTWARE SERVICES LTD,2025-04-01,BYTES SOFTWARE SERVICES LIMITED,Leatherhead,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
SUPPLY OF SHORT COURSES THAT ARE FUNDED THROUGH ADULT SKILLS FUND TO LEARNERS WITH DEVON AND TORBAY RESIDENTIAL POSTCODES.,84000.0,SKILLS NETWORK,2025-04-01,SKILLS OFFICE NETWORK,Gateshead,Skilled Worker
Bus Shelter Advertising Extension,3000000.0,BAUER MEDIA OUTDOOR UK LIMITED,2025-04-01,BAUER MEDIA OUTDOOR INTERNATIONAL LIMITED,London,Skilled Worker
New Berwick Hospital - Gym Equipment,41302.88,TECHNOGYM U.K. LIMITED,2025-04-01,TECHNOGYM U.K. LIMITED,Bracknell,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Provision of Legal Services to DESNZ for GBE and other Arm's Length Bodies 2025 - 2027,2000000.0,SHARPE PRITCHARD LLP,2025-04-01,SHARPE PRITCHARD LLP,London,Skilled Worker
NE - CSF-CCS Core Services Phase 2 - T&T (Core),361000.0,TURNER & TOWNSEND PROJECT MANAGEMENT LIMITED,2025-04-01,RB PROJECT MANAGEMENT LIMITED,London,Skilled Worker
Provision of GIS Software System,173559.0,ESRI (UK) LIMITED,2025-03-31,SVRI UK LIMITED,Guildford,Skilled Worker
Compensation Survey Report,13200.0,AON UK LIMITED,2025-03-31,AON UK  LIMITED,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Royal Parade Bus Improvement Scheme Construction,4600000.0,MORGAN SINDALL CONSTRUCTION & INFRASTUCTURE LIMITED,2025-03-31,MORGAN SINDALL CONSTRUCTION & INFRASTRUCTURE LTD,Rugby,Skilled Worker
Gym Equipment Refurbishment,288535.76,SERVICE SPORT (UK) LIMITED,2025-03-31,M-SPORT LIMITED,Cockermouth,Skilled Worker
Provision of Insurance Coverage for the North Devon District Council,2207855.0,PROTECTOR INSURANCE UK LTD,2025-03-31,PROTECTOR INSURANCE,Manchester,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Data Management Consultancy and Software,192000.0,EXPERIAN LIMITED,2025-03-30,EXPERIAN LIMITED,Nottingham,Global Business Mobility: Graduate Trainee / Global Business Mobility: Senior or Specialist Worker / Skilled Worker
G-Cloud 14 (Lot 3: Cloud Support) - Hyperion Technical Services,931708.4,PARICO LIMITED,2025-03-30,PURICO LIMITED,Nottingham,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
714501451,931708.4,PARICO LIMITED,2025-03-30,PURICO LIMITED,Nottingham,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Badgernet- System C Clinical outcomes,600057.0,SYSTEM C HEALTHCARE LIMITED,2025-03-28,C & K HEALTHCARE LIMITED,HARROW,Skilled Worker
WebV Application Support,117840.0,INSIGHT DIRECT (UK) LTD,2025-03-28,INSIGHT DIRECT (UK) LTD,Sheffield,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
Internal Audit Services for Gateway Housing,350000.0,KPMG LLP,2025-03-26,KPMG LLP,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
1068 Capital WIFI Infrastructure Upgrade BHNFT,233327.75,CAE TECHNOLOGY SERVICES LTD,2025-03-26,CAE TECHNOLOGY SERVICES LIMITED,Hemel Hempstead,Skilled Worker
Public Sector Reform (PSR) Test and Learn Wave One,165600.0,BEHAVIOURAL INSIGHTS LTD,2025-03-19,BEHAVIOURAL INSIGHTS LTD,London,Skilled Worker
Rowstock Area Transport Study,69790.37,SYSTRA LTD,2025-03-19,SYSTRA LTD,London,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
"ITT for projects 10149731, 10151558",9880.0,KLCE CONSULTING LTD.,2025-03-18,N CONSULTING LTD,London,Global Business Mobility: Graduate Trainee / Global Business Mobility: Senior or Specialist Worker / Skilled Worker
New Berwick Hospital - Dental Chairs,41000.0,HENRY SCHEIN UK HOLDINGS LIMITED,2025-03-18,HENRY SCHEIN UK HOLDINGS LIMITED,Gillingham,Global Business Mobility: Senior or Specialist Worker / Skilled Worker
"ITT for projects 10150592, 10149001, 10148625",13200.0,PROMAR INTERNATIONAL LIMITED,2025-03-17,AV INTERNATIONAL LIMITED,Manchester,Skilled Worker
VAT Services,37000.0,LIAISON VAT CONSULTANCY LIMITED,2025-03-15,LIAISON  VAT CONSULTANCY LTD,Hertfordshire,Skilled Worker
Landscaping for The Observatory and EDC Owned Sites,150000.0,FRYER CLEANING AND MAINTENANCE LTD,2025-03-14,K MAINTENANCE LTD,London,Skilled Worker
eConsult for MOD,98000.0,ECONSULT HEALTH LIMITED,2025-03-14,CONSULHEALTH LIMITED,London,Skilled Worker
Berwick Community Hospital Office Furniture,46357.35,DAMS FURNITURE,2025-03-13,DAMS FURNITURE LTD,Knowsley,Skilled Worker
Lot 9 - 080 B1218 Brigg Road Junction with Bonby Lane VRS Repairs,8304.0,PBS CONSTRUCTION (NORTH EAST) LTD,2025-03-10,CONSTRUCTION 5 LTD.,Leicester,Skilled Worker
