project_id,title,status,start_date,lead_organisation
66182868-7A4C-4915-A4A8-F53FE6BE7D08,Quantum Imaging with Squeezed Light,Active,,UNIVERSITY OF BIRMINGHAM
FDF9E747-9CEC-4002-9BDD-F3E8EC7D65BE,"(DISC) Demountable, Resilient, and Sustainable Construction Technology for Next- Generation Biologically Inspired Buildings",Active,,UNIVERSITY OF SOUTHAMPTON
FEA09D4C-5768-499D-842A-F3B6C9002181,Modelling mid-planetary system debris,Active,,UNIVERSITY OF CAMBRIDGE
FF95DD75-8F3A-449B-93E3-F3CEE54393B7,'Doing it for themselves': exploring the impact of masculinities on women's participation in social movements in 20 &amp; 21st century Britain and France,Active,,"BIRKBECK, UNIVERSITY OF LONDON"
FFD58F41-9045-4188-9500-F43D8A8B6290,Generation of a multivariate stratification model to predict Trametinib-sensitive low-grade serous ovarian cancer tumours,Active,,UNIVERSITY OF EDINBURGH
8449A8E0-607B-4358-A795-F66741B6DB00,Cross Section Systematics and Neutrino Oscialltion Analysis in DUNE,Active,,Unknown
84592A37-BF88-4379-9C6C-F61BFAB5527D,The Crop History Consortium (CHC),Active,,UNIVERSITY OF YORK
8559D53F-B54F-4CE7-9E45-F61D00139B47,Molecularly Imprinted Heavy Metal-free Quantum Dots as Fluorescent Probes for Rapid and Accurate Detection of Viruses,Active,,UNIVERSITY OF DUNDEE
85836BC9-77E6-432F-B841-F6DFDBA5A848,Understanding the Role of the Food Environment in Susceptibility to Obesity in Children and Adolescents: Biopsychosocial Interactions,Active,,UNIVERSITY COLLEGE LONDON
85BA5137-7184-4396-86BF-F5637D959878,Connecting Patterns and Processes in Freshwater Landscapes: Implications for Farmland Restoration,Active,,KING'S COLLEGE LONDON
878D33EF-19A0-4615-A62C-F72540B163C3,Hearing in a social context: Cognitive mechanisms of context use in communication,Active,,UNIVERSITY OF NOTTINGHAM
6D0BD227-F569-4D38-9B09-F5738EC0B6EE,MICA: Determining the therapeutic potential of targeting the free fatty acid receptors FFA1 and FFA4 in human lung inflammatory disease,Active,,UNIVERSITY OF GLASGOW
6EBEBE59-CC16-49CE-85BF-F5F7C747898D,St Andrews astronomy: PATT linked travel and subsistence,Active,,UNIVERSITY OF ST ANDREWS
7058BF66-389E-49FE-8435-F5255ED1BBAA,INTERPLAY BETWEEN VIRUSES AND B CELLS IN THE PATHOGENESIS OF MULTIPLE SCLEROSIS.,Active,,UNIVERSITY OF BIRMINGHAM
7085F50E-0098-45E2-A7AE-F5D491EC2C54,Communicative Practices of the Free Brazil Movement in Social Media Networks and Their Consequent Appropriations by Political Candidates in the 2018,Active,,UNIVERSITY OF WESTMINSTER
70A9E549-ECCA-48AF-880D-F55F1E30E746,Human Trafficking and Legal Culture in Latin America: A nested socio-legal comparative study,Active,,UNIVERSITY OF NOTTINGHAM
70D28977-31DC-4A45-B0E3-F6CBEDB7320A,EPSRC Centre for Doctoral Training in Cyber-physical Risk,Active,,UNIVERSITY COLLEGE LONDON
4CC1ED58-EA2C-4683-A7CD-F659A3848839,"Sustainable Welfare: Rethinking the roles of Family, Market and State (SUSTAINWELL)",Active,,IMPERIAL COLLEGE LONDON
4F24F61C-C599-4224-A07A-F57E0DDC2A73,How does the immune system shape bacteriophage dynamics within the mammalian gut?,Active,,UNIVERSITY OF MANCHESTER
E93D0E66-1B36-4F79-ACC5-F4B3D7B6850E,Dust Transport in MAST-U,Active,,UNIVERSITY OF LIVERPOOL
E9AC489F-FCEB-468C-9240-F442878D1079,STFC Liverpool Maths 2022 DTP,Active,,UNIVERSITY OF LIVERPOOL
E9E4CF09-93DD-4C3E-BBD1-F4BD1D809781,Modelling failure mechanisms in total ankle replacement,Active,,UNIVERSITY OF LEEDS
EB671DA1-AE7C-4811-A678-F40AF9853E5F,New techniques for logic on words,Active,,LOUGHBOROUGH UNIVERSITY
72327CCE-CF75-4F2A-88C6-F5B707F2D65C,"Protein conformation, Protein misfolding, hIAPP, Ion mobility mass spectrometry",Active,,UNIVERSITY COLLEGE LONDON
72A07AD3-0FE8-4EE4-9C83-F6FE031CE8A4,"The political activities of British Chinese communities: domestic politics, transnational connections, and Chinese influences, 1919-1953.",Active,,UNIVERSITY OF CAMBRIDGE
72C5C72E-5A0D-444F-9664-F57B60E8D1BE,Potato PCN Resistance: Cloning effective resistances against potato cyst nematodes,Active,,UNIVERSITY OF EAST ANGLIA
72E7C6F6-051F-4E42-B996-F54FAF6365F0,Scaling up simulation based inference to whole genome data,Active,,UNIVERSITY OF BRISTOL
7313D6E1-6635-4868-9DA1-F6EFFD34B164,Sovereign High-Performance Entangled Photon Source for Quantum Networking (QNET-EPS),Active,,LUMINO TECHNOLOGIES LIMITED
73458C25-10D8-4349-B7A9-F6148B471D46,Investigating reliable techniques of discovering causal genetic information from noisy high-dimensional genotypes,Active,,UNIVERSITY OF BIRMINGHAM
73814FD4-CAC1-4C35-ABCE-F5782AAE748B,Damage signalling by endo-parasites: A key role for extracellular ATP and calcium channels,Active,,UNIVERSITY OF CAMBRIDGE
576E1A28-2621-44B6-BA2C-F61ED664C84D,Hydrogen Aircraft Sloshing Tank Advancement (HASTA),Active,,UNIVERSITY OF BRISTOL
58BC8622-84BB-4925-92A1-F6B9E90C26D8,Using artificial intelligence to extract retinal and neural information and to use Big Data multi-omics to discover biomarkers of disease.,Active,,KING'S COLLEGE LONDON
58E8E64D-3000-4C65-9A4A-F584AE6DC5AC,Reducing Global Catastrophic Risks from Unseen Climate Extremes,Active,,KING'S COLLEGE LONDON
59267E80-235B-43C1-A887-F605F71BCDF7,What do the Symbols Say? A Linguistic and Statistical Decipherment of Pictish Symbols,Active,,UNIVERSITY OF GLASGOW
F50D6953-00F6-4C7A-90D9-F4DCD3365C43,Partner choice and behavioural variation in social networks,Active,,UNIVERSITY OF EXETER
7BC79E2B-7EB0-4BC3-98D5-F5AA2A026B07,"Empathetic, interpretable, and explainable Artificial Intelligence",Active,,UNIVERSITY OF BATH
7C131B97-0275-46D5-B8EB-F60E572E1632,Evaluating the contributions of age-related changes in sensory acuity and cognitive control on the speed and accuracy of visual search,Active,,UNIVERSITY OF LEICESTER
D0F2A6C9-B068-4574-81D6-F4AAB14C4176,Data Analysis with the FASER Experiment and R&amp;D for FASER2 and the Forward Physics Facility,Active,,UNIVERSITY OF MANCHESTER
5AD86665-E312-467B-BF47-F60DF899C049,"Accurate, Rapid, Robust and Economical One Health DiagnoSTics for Antimicrobial Resistance",Active,,QUEEN MARY UNIVERSITY OF LONDON
5BFBDD32-4F57-4DB0-8478-F5E8DF4F366A,Impacts of floating offshore wind infrastructure on the distribution and behaviour of fish and marine mammals: IFLOW,Active,,UNIVERSITY OF THE HIGHLANDS AND ISLANDS
5CF83E75-C3D6-4AA1-92BA-F58601D08231,Developing Quantum Advantage by Understanding the Paradoxical Aspects of Measurement in Quantum Systems,Active,,NEWCASTLE UNIVERSITY
5D03F9E2-A543-442F-8478-F679D6B79134,Nottingham Trent University and Bigspark Limited KTP 23_24 R4,Active,,NOTTINGHAM TRENT UNIVERSITY
41DE9289-C555-41E4-A6B9-F69EBF3603B2,Understanding the materials performance of additive manufactured stainless steel components in high temperature water,Active,,UNIVERSITY OF MANCHESTER
42CA96CE-A3EA-46DE-A210-F61C661E1C0C,Champion for the BIO-Carbon programme (C-Bio-C),Active,,NATIONAL OCEANOGRAPHY CENTRE
DA54FAAC-915F-49D6-9123-F3AA00439279,The Role of Aldose Reductase and Oxidative Stress in Alopecia Areata,Active,,UNIVERSITY OF MANCHESTER
DA6BA7B7-F227-4AD2-9E1A-F4BCE44A9BD9,"Asexual Epidemics, Detectives and Spinsters: the construction of pathological asexuality in Victorian fiction",Active,,UNIVERSITY OF EDINBURGH
DCAEC860-B73C-4138-B53F-F3D0D62FF8D0,Low Phonon Lanthanide Chelates for Molecular Upconversion,Active,,UNIVERSITY OF MANCHESTER
DD324DA4-FF39-4F78-8253-F315374FBD03,Transuranium-Ligand Multiple Bonding: A New Frontier for f-Block Chemistry,Active,,UNIVERSITY OF MANCHESTER
DD8C7F95-ED3F-4C92-A933-F36172A96DED,"Neolithic Narratives: examining storytelling methodologies, tools, and technologies for enriched visitor engagement",Active,,UNIVERSITY OF THE HIGHLANDS AND ISLANDS
66397290-A4A2-454A-96AE-F6E8465E1C2C,"Dysphoria, dissolution and diversity: An ethnographic exploration into the growing disillusionment of Black Caribbean students",Active,,SWANSEA UNIVERSITY
67A09E5E-01A5-4D2E-922E-F64552F9D6A8,"Bending process, digital twins, steel manufacturing",Active,,UNIVERSITY OF WARWICK
68708D2E-A955-4526-B22E-F5562C04A7D9,6G-PATH: 6G Pilots and Trials Through Europe,Active,,UNIVERSITY OF THE WEST OF SCOTLAND
68FDC885-0E6E-43C4-8119-F56600872544,The antibacterial mechanism of action of piroctone olamine against Staphylococcus aureus effects on metal deprivation and membrane integrity,Active,,DURHAM UNIVERSITY
4BB9B0CB-3BDE-4CAE-9EA4-F6AF641FBD5E,Black hole outbursts and major mergers in galaxy clusters,Active,,UNIVERSITY OF NOTTINGHAM
4567F8E3-759C-4E99-8746-F6B1E20494A7,Thermal management of hydrogen-powered aircraft,Active,,IMPERIAL COLLEGE LONDON
4653DEBD-B5A0-465C-9F3E-F6CBF85A8EB6,IGNITION: Improving green innovation for the blue revolution: New tools and opportunities for a more sustainable animal farming,Active,,UNIVERSITY OF EDINBURGH
485E7DCA-FD29-4788-890F-F6A22AA45996,LIVERPOOL REQUEST FOR POSTDOCTORAL RESEARCH ASSISTANTS 2022,Active,,UNIVERSITY OF LIVERPOOL
2D56F665-8062-440B-AAC2-F6B18AE55B11,Exploring ERAP1 trimming in tapasin deficient cells and its impact on the predicted peptide repertoire,Active,,UNIVERSITY OF SOUTHAMPTON
2E690F09-40FD-4127-AA61-F607A5725E78,Investigating the molecular basis of C. difficile-commensal interactions,Active,,UNIVERSITY OF WARWICK
2E748399-12E7-4E36-8C72-F57D0AC4BD22,An Investigation of the Function and Significance of Prehistoric Coarse Stone Tools: A Multimethod Approach to Analysing the Continuum of Coarse Stone,Active,,UNIVERSITY OF THE HIGHLANDS AND ISLANDS
2E7ED210-9C98-4E70-AC48-F643BAFEAC8A,Chromosome end protection in stem cells and development,Active,,THE FRANCIS CRICK INSTITUTE
2EE74CFD-E1FB-439D-AB4B-F61F01DE563F,MycoTACs: Proteome targeting chimeras for Mycobacterium tuberculosis,Active,,NEWCASTLE UNIVERSITY
2F099CB7-B727-4488-887A-F603E75F7FB8,The success of strategic restoration for pollinator connectivity,Active,,UNIVERSITY OF LIVERPOOL
2FA51E65-68A6-4728-B784-F64DFF97FDF6,AI mining of the bacteriophages metagenome,Active,,DURHAM UNIVERSITY
C3F047A7-4499-4775-B8C2-F4BC8BBC9F97,SpaceCdTe,Active,,SWANSEA UNIVERSITY
C48FD885-B044-4AAC-8188-F3EC9A2DFD79,CirculaREEconomy,Active,,IONIC TECHNOLOGIES INTERNATIONAL LIMITED
C60722B3-050B-4F0C-A8AA-F4EB73AC5B7B,Unravelling topological features of liquid-liquid phase transitions in network liquids,Active,,UNIVERSITY OF BIRMINGHAM
51A50195-CCB4-4B68-865C-F5684FEF9F4C,"Period Stories: Menstruation in Advertising, Sex Education and Girls' Personal Narratives.",Active,,UNIVERSITY OF BRISTOL
539BCC9C-B5BF-49D7-8A5A-F5EE4D6B3200,Nuclear Green,Active,,UNIVERSITY OF LEEDS
543053D7-8B24-4FD4-B7C1-F69CEF4B8953,Examining Serotonin Signalling Kinetics in Frontal Cortical-Amygdala Circuits During Flexible Goal Directed Behaviour,Active,,UNIVERSITY OF CAMBRIDGE
54306998-9F8B-430C-BBAB-F69225502944,"Co-design of a gamified, attention-based intervention for chronic pain and chronic dizziness",Active,,KING'S COLLEGE LONDON
3A48B94B-3CC2-4CAD-8E42-F71132DF5DF4,Drivers and impacts of insect biodiversity changes across pantropical forests,Active,,UNIVERSITY OF BRISTOL
CE7417C1-EB25-4E65-9D05-F30B13AB66E4,Investigating the role of Chromatin in coupling RNA quality control to transcription,Active,,UNIVERSITY OF LIVERPOOL
CE84001F-44A2-40C3-A43A-F400E25F9AD9,Developing Offshore Floating Technology,Active,,UNIVERSITY OF EDINBURGH
CEBA4EB5-0194-400C-992F-F49CDE56C9C4,COMBATTING DIET RELATED NON-COMMUNICABLE DISEASE THROUGH ENHANCED SURVEILLANCE (CoDiet),Active,,IMPERIAL COLLEGE LONDON
A9D34301-5DBD-4D9A-BBC1-F4A6053EF313,Oncological Resection Guidance Across Scales,Active,,IMPERIAL COLLEGE LONDON
A9FFE5DB-4A0F-4D7F-85FD-F38ACABC5361,RoboMRI: Future Cardiovascular Healthcare via MRI-driven Robotics,Active,,UNIVERSITY OF LEEDS
AA9A9E13-8649-45F9-B68A-F43E7F5205B6,Metallic Aerospace Structures Technologies for Eco-social Returns (MASTER),Active,,GKN AEROSPACE SERVICES LIMITED
AAEBD67B-FC6B-4D15-B33A-F3B878955548,Quantifying Synthetic Data Fidelity for Autonomous Vehicle (AV) Development,Active,,UNIVERSITY OF WARWICK
161C77A3-8EDB-42D4-BE91-F70DDADE1A50,Completing the genetic toolkit for the control of global Tephritid pests,Active,,IMPERIAL COLLEGE LONDON
1635D596-CE64-47ED-85EE-F56216B0B049,Defining the monocyte hair follicle niche: rebuilding the Langerhans cell network in skin,Active,,UNIVERSITY COLLEGE LONDON
167421B3-9FE1-49A3-9166-F5FB522F3ED3,Demonstration of destruction of pathogenic P. gingivalis whilst preserving beneficial oral bacteria - to enable a product for better oral health and protection of body health,Active,,SYSORA HEALTH LIMITED
16AEE49B-F34E-4E19-A48D-F6CF9C59809A,Implementation of community-based health checks and peer-to-peer support to promote functional ability for older people living in rural Zimbabwe,Active,,UNIVERSITY OF BRISTOL
183F7CC2-710E-4679-BC32-F5CCB042DC9D,"The Chancellor, Masters, and Scholars of the University of Cambridge and 52 North Health Limited KTP 21_22 R4",Active,,"THE CHANCELLOR, MASTERS, AND SCHOLARS OF THE UNIVERSITY OF CAMBRIDGE"
3C9AE4C6-0B16-4C7C-BD64-F5DF60C27A73,Emissions Responsibility Accounting for the net zero transition: developing innovative business and policy responses to operationalise implications,Active,,IMPERIAL COLLEGE LONDON
3E1534F5-BE90-4F0D-847D-F57D70827AD2,Coordination of organ identity and symmetry establishment in flower organs,Active,,UNIVERSITY OF EAST ANGLIA
3ECFC2D7-4894-420C-8A05-F5FAA030502A,Nitrogen efficient plants for climate smart arable cropping systems (NCS),Active,,PROCESSORS & GROWERS RESEARCH ORGANISATION
3EF2D2F0-0A76-48EE-95FC-F6B60D214225,Chiral cilia carpets on curved surfaces,Active,,UNIVERSITY OF BRISTOL
