Contract_Title,Contract_Value,Supplier_Name,Award_Date
Unit 4 Professional Services Phase 2 Part 1,193500.0,UNIT4 BUSINESS SOFTWARE LTD,2025-12-23
DDaT25560 - Storage System Solution,661332.12,DELL CORPORATION LIMITED,2025-12-23
Provision of Fuel Cards for Internal MKCC Fleet,160000.0,SHELL U.K. OIL PRODUCTS LIMITED,2025-12-23
Otterpool Park - Property Advice,17500.0,MONTAGU EVANS LLP,2025-12-22
GB-Hengoed: TPPL Caerphilly County Borough Council BNES Bus Lot 3 - 1 x 16 Seat Coachbuilt Minibus (28648),213734.0,TREKA BUS LIMITED,2025-12-22
Country Park Play Equipment,303917.51,KOMPAN LIMITED,2025-12-22
GB-Tyne: TPPL Newcastle City Council HCC Lot 4 - 1 x Sub-Compact Sweeper (29347),62326.78,HAKO MACHINES LIMITED,2025-12-19
Cloud 9 Technologies - Citizen Mobile App 2025,54950.0,CLOUD 9 TECHNOLOGIES LTD,2025-12-19
MEP Consultant services for Fleet Electrification and Depot redevelopment,47000.0,DREES & SOMMER UK LTD,2025-12-18
Wales High School - Main Works (con_29682),71752966.4,BAM CONSTRUCTION LTD,2025-12-18
SPRINT PHASE 2 - NEC 4 SITE SUPERVISOR,48856.25,MATCHTECH GROUP LIMITED,2025-12-18
Call off Contract for Provision of Desktop Hardware,131688.0,INSIGHT DIRECT UK LTD,2025-12-18
St John's Road - Improvement of Walking and Cycling Lanes,1681279.6,ESH CONSTRUCTION LIMITED,2025-12-18
Trinity Street - Improvement of Walking and Cycling Lanes,1578009.79,ERIC WRIGHT CIVIL ENGINEERING LTD,2025-12-18
Off-Site Storage Facility for Diamond Light Source,1422419.0,CANNON PACKING AND LOGISTICS,2025-12-18
"Subscription to Research, Insights, and Advisory Services",120960.0,GARTNER UK LIMITED,2025-12-18
Mids - PFR Lot 2 - Brookstray PFR,177734.49,WHITEHOUSE CONSTRUCTION CO. LTD,2025-12-18
LCF24 - Sarehole Mill Car Park Resurfacing - AWARD,56048.0,AMB LANDSCAPING & BUILDING SERVICES LTD,2025-12-18
"DCBL Stadium - PAVA Instal Project and associated works to North, South and West Stands only",608150.0,WARDEN CONSTRUCTION,2025-12-18
Springfield School- Main Works (con_29638),59201607.11,KIER CONSTRUCTION,2025-12-17
Brunswick Community Primary School - Main Works (con_29684),20101157.84,TILBURY DOUGLAS,2025-12-17
Thrybergh Country Park Play Area,117645.0,LIGHTMAIN COMPANY LTD,2025-12-17
PDF Framework - 621622 - A66 Neasham Road to Morton Palms Resurfacing - Phase 01,545504.4,DSD CONSTRUCTION,2025-12-17
DCC: Lot 1 - 8th December 2025 PCV,485450.0,TAW AND TORRIDGE COACHES LTD,2025-12-17
DCC: Lot 1 - 8th December 2025 PCV,485450.0,HILLS SERVICES LIMITED,2025-12-17
