Contract_Title,Contract_Value,Supplier_Name,Award_Date
Minor Works Framework: Construction 2024,0.0,7 FORMATION LIMITED,2025-08-27
Minor Works Framework: Construction 2024,0.0,OLIVETI CONSTRUCTION LIMITED,2025-08-27
Minor Works Framework: Construction 2024,0.0,TANWOOD CONSTRUCTION LIMITED,2025-08-27
Fresh Food DPS Contract Award Notices June 2025 - August 2025,200000000.0,JOHN PALIN (WHOLESALE) LTD,2025-08-26
Fresh Food DPS Contract Award Notices June 2025 - August 2025,200000000.0,NIJAR DAIRIES LTD T/A FRESHWAYS,2025-08-26
Fresh Food DPS Contract Award Notices June 2025 - August 2025,200000000.0,TPB FOODS LIMITED,2025-08-26
Fresh Food DPS Contract Award Notices June 2025 - August 2025,200000000.0,JOHAL DAIRIES LIMITED,2025-08-26
Fresh Food DPS Contract Award Notices June 2025 - August 2025,200000000.0,TURNER PRICE,2025-08-26
Fresh Food DPS Contract Award Notices June 2025 - August 2025,200000000.0,BARSBY PRODUCE,2025-08-26
Fresh Food DPS Contract Award Notices June 2025 - August 2025,200000000.0,OWEN TAYLOR & SONS LTD,2025-08-26
Fresh Food DPS Contract Award Notices June 2025 - August 2025,200000000.0,GW PRICE LTD,2025-08-26
"QIP126 0900 2025-08-26  Ipswich to Parkside Academy, Lindbergh Road, IP3 9FA (4 seater vehicle required) - AWARD",12730.0,UNIVERSAL CABS LTD,2025-08-26
Mural Enterprise Licences 2025/26,34086.0,ECONOCOM PRODUCTS & SOLUTIONS UK LIMITED,2025-08-26
"QBH178 - 2025-08-12 (0900) Lowestoft to Castle East School, Bungay (8 seated vehicle with a passenger assistant) - AWARD",248710.0,SPRY MANAGEMENT,2025-08-21
RUGCON - Asset Lifecycle Management,227161.0,TOTALMOBILE LTD,2025-08-21
"QSB262 0900 2025-07-01 Hadleigh-Wetheringsett Manor school, Wetheringsett-Cum-Bockford (4-seated vehicle and a female driver required) - AWARD",4560.0,HAWK EXPRESS CABS LTD,2025-08-21
1991 IT Hardware for NHS Arden and Greater East Midlands CSU,11444.76,TEQEX LTD,2025-08-20
1991 IT Hardware for NHS Arden and Greater East Midlands CSU,14850.0,DELL CORPORATION LIMITED,2025-08-20
Sharegate Migration Licenses,30000.0,SHAREGATE LTD,2025-08-20
DDaT25357 - IBM Blue works,34235.95,RESPONSIV SOLUTIONS LIMITED,2025-08-20
RDE857 - Benefits of underwater structures to cuttlefish egg survival,77000.0,UNIVERSITY OF PLYMOUTH,2025-08-19
CPU 7651 TRCH Website,63000.0,CULTURESUITE LIMITED,2025-08-18
"QFX003 0900 2025-08-18 IPSWICH to PROJECTION EDUCATION, FELIXSTOWE FERRY CENTRE, FERRY ROAD, IP11 9RT (4seater vehicle required)  - AWARD",15960.0,CABS SMART,2025-08-18
S728 Mainstream Taxi Ab Kettleby Primary School,62.11,EVEREST TAXI,2025-08-16
S728 Mainstream Taxi Ab Kettleby Primary School,62.11,SOUND TAXI,2025-08-16
Provision of Steering Board Review,24300.0,MI-GSO PCUBED,2025-08-15
PAN3418 - New Slab Design,139535.0,DANAHER & WALSH (CIVIL ENGINEERING) LTD,2025-08-15
665 - Strategic Transport Model,224607.45,AECOM LTD,2025-08-15
2 x Ford Transit One Stop Tippers,73200.0,R.T.RATE LIMITED,2025-08-14
21 201 Further Competition for the Development of Mount View,10000000.0,PLUS DANE HOUSING LTD,2025-08-13
Lot 4 - Tameside Metropolitan Borough Council,244815.0,D C TRAVEL,2025-08-12
S541-Mainstream Taxi 4 passenger seats- Robert -Smyth Academy,11400.0,MURPHYS TAXIS LTD,2025-08-12
S78 Mainstream Taxi The Priory Ruskin Academy,93.8,MW PRIVATE HIRE,2025-08-12
"2025-08-11 09:00 - QML057 Bury St Edmunds to West Row Academy, West Row - AWARD",171000.0,ALL DAY CARS,2025-08-12
Security tender 2025-2028,48020.0,BRYAN ENTERPRISE LTD TRADING AS SECURITY SERVICES,2025-08-12
"Further competition against RM6175 Records Information Management, Digital Solutions and Associated Services Lot 1: Records Information Management Services - AWARD",521597.0,RESTORE RECORDS MANAGEMENT,2025-08-12
MWF Lot 7 - Weeke Primary School - Emergency Lighting Upgrade - AWARD,20435.37,HILLSIDE ELECTRICAL SOUTHERN LTD,2025-08-12
Lot 4 - Tameside Metropolitan Borough Council,244815.0,STAMFORD CARS UK LTD,2025-08-12
Decorations Framework Lot 2 DA -  External Decorations and Repairs 7-24 - Various Properties - AWARD,160207.45,IAN WILLIAMS,2025-08-12
S449 Mainstream Taxi The Priory Belvoir Academy,90.0,NMI TAXIS LTD,2025-08-12
"2025-08-11 09:00 - QML061 Elmswell to West Row Academy, West Row - AWARD",222026.4,UNITY TRAVEL LTD,2025-08-12
Arboricultural services - Tree works operations,1938.0,HICKSON WARDLE TREECARE,2025-08-12
Fie Evacuation System for Tyneside House,14500.0,TAGEVAC LTD,2025-08-12
Provision of SD WAN Services,237165.0,VIRGIN MEDIA BUSINESS LTD,2025-08-12
"FR560, 0900 2025-08-12, Rendham - Sweffling - Thomas Mills High School, Framlingham (12 seats) - AWARD",64505.0,WHINCOP COACHES,2025-08-12
Lot 4 - Tameside Metropolitan Borough Council,244815.0,FREERUN PRIVATE SERVICES,2025-08-12
CA15026 - Havant & South Downs College - Cleaning Services,3682786.45,BRAYBORNE FACILITIES SERVICES,2025-08-12
RFI 273 Oldbury - Auto-SAS Building Facility Planning Application,44011.0,AVISON YOUNG,2025-08-12
"2025-08-08 09:00 - QTN042 Wickhambrook to Stanton Community Primary School, Stanton - AWARD",148960.0,FIRST STOP TRAVEL EA LIMITED,2025-08-12
S775 Mainstream Taxi John Ferneley College,86.0,T & H SOLUTIONS,2025-08-12
Route Optimisation - Passenger Transport,46908.0,ROUTEWARE LIMITED,2025-08-12
Broadcast Graphics Operating System Migration,569820.88,MOBILISE CLOUD SERVICES LIMITED,2025-08-12
"HK608, 0900 2025-08-12, Brantham to Holbrook Academy (4 seats) - AWARD",22800.0,EDWARD BALCH T/A EASY ACCESS TRANSPORT,2025-08-12
S759 Mainstream Taxi The Castle Rock School,98.2,COALVILLE CABS LTD,2025-08-12
"2025-08-05 09:00 - QOC694 Rattlesden to Kingsbrook School Southburgh, Norfolk. - AWARD",24656.3,NASH AUTO LTD,2025-08-11
AI Proof of Concept Services to Support EU Reset,1500000.0,FACULTY SCIENCE LIMITED,2025-08-11
Fire Compliance Risk Assessments and Surveys,58224.0,LOGIC FIRE AND SECURITY LIMITED,2025-08-11
CPT_25_30 - Decarbonisation Project - Mechanical & Electrical  Engineering Services (C-4014),66000.0,RIDGE AND PARTNERS LLP,2025-08-10
Compostable Caddy Liners,41808.0,THE COMPOST BAG COMPANY,2025-08-08
NCC1355 Web Filtering Service,39330.0,EUROPEAN ELECTRONIQUE,2025-08-08
PAN3415 - Gleneagles Av Bridge Maintenance Scheme,260439.61,DANAHER & WALSH (CIVIL ENGINEERING) LTD,2025-08-08
Access Supine Breast & Lung Treatment Device Arm and Wrist support,38632.0,ONCOLOGY IMAGING SYSTEMS LIMITED,2025-08-08
"2025-08-01 09:00 - QOC783 Stowmarket to Acorn Park School, Banham, Norfolk - AWARD",301568.0,405 CAB CO LTD,2025-08-08
BTH25-203 Pharmacy Blood labelling Isolator,93386.0,ENVAIR LIMITED,2025-08-07
"2025-08-04 09:00 - QOC788 Sudbury to Doucecroft School, Colchester, Essex - AWARD",278768.0,NICE TRAVEL SOLUTIONS LIMITED,2025-08-07
"2025-08-04 09:00 - QOC788 Sudbury to Doucecroft School, Colchester, Essex - AWARD",278768.0,CALL A CAB IPSWICH,2025-08-07
Green Home Initiative - ARC - Phase 9,477027.48,ARC GROUP LONDON LIMITED,2025-08-06
Green Home Initiative - ARC - Phase 12,474878.62,ARC GROUP LONDON LIMITED,2025-08-06
PAN3381 - Clean & Green PV installations,29999.0,COUCH PERRY WILKES LLP,2025-08-05
LDC-335 DFG Adaptations and Associated Building Works Framework,1000000000.0,WILCOX PLUMBING & HEATING LTD,2025-08-05
LDC-335 DFG Adaptations and Associated Building Works Framework,1000000000.0,TYRER BUILDING CONTRACTORS,2025-08-05
LDC-335 DFG Adaptations and Associated Building Works Framework,1000000000.0,FENAX DEVELOPMENTS LIMITED,2025-08-05
LDC-335 DFG Adaptations and Associated Building Works Framework,1000000000.0,EDEN ADAPTIONS LTD,2025-08-05
"2025-08-05 09:00 - QTN038 Drinkstone & Elmswell to Ixworth High School, Ixworth - AWARD",89110.0,KELLY'S CABS (ALAN KELLY),2025-08-05
LDC-335 DFG Adaptations and Associated Building Works Framework,1000000000.0,CARDO (CENTRAL) LIMITED,2025-08-05
LDC-335 DFG Adaptations and Associated Building Works Framework,1000000000.0,A.S PLUMBING AND BATHROOMS LTD,2025-08-05
Stock Condition Surveys (Housing),2818470.0,WATTS GROUP LIMITED,2025-08-04
Iken Call-off from G-Cloud 14 Framework  Agreement (RM1557.14),145400.0,IKEN BUSINESS LTD,2025-08-04
NEA - CDF - Butteryhaugh - OBC-FBC - Lot 1 Detailed Design,385799.6,OVE ARUP & PARTNERS LIMITED,2025-08-04
"QOC789 09:00 2025-08-04 Mildenhall, Suffolk to Gretton School, Girton, Cambridgeshire - AWARD",118702.5,CAMBRIDGE AND HUNTINGDON AIRPORT TRAVEL SERVICE,2025-08-04
"2025-08-01 09:00 - QOC785 Beccles to Chapel Green School, Old Buckenham, Norfolk - AWARD",348080.0,LONDON HIRE COMMUNITY SERVICES LTD,2025-08-04
"2025-08-01 09:00 - QOC785 Beccles to Chapel Green School, Old Buckenham, Norfolk - AWARD",348080.0,ANDALUSIA TRADING LTD  T/A ROADRUNNER TAXIS,2025-08-04
CVLR Demonstrator - Subway Optioneering,95000.0,PERFECT CIRCLE JV LTD,2025-08-03
Roofing Replacement 2025,161039.0,APEX SG LTD,2025-08-01
Lost Contact and Mortality Screening Contract,350000.0,TARGET PROFESSIONAL SERVICES UK,2025-08-01
Leabridge Supplies - Barnet lock and security,15000.0,BARNET LOCK & SECURITY LTD,2025-08-01
Crossing the Border - Service Integrator,18500000.0,KPMG LLP,2025-08-01
ENQ1187 - Small works for electrical distribution board works,26319.0,GILKS (NANTWICH) LIMITED,2025-08-01
"Data Centre Technical Advisory Services (Multidisciplinary) - RIBA Stage 4, 5, 6 & 7",72000.0,RIDGE AND PARTNERS LLP,2025-08-01
Postural Liceneces for use with Allign RT,160000.0,VISION RT LIMITED,2025-07-31
Provision of Construction Works & Associated Services 3 (CWAS3),49200.0,ATKINSRÉALIS UK LIMITED,2025-07-31
Legal Advice,256000.0,MILLS & REEVE LLP,2025-07-31
Open Source Intelligence cyber and forensics platform,30000.0,SOFTCAT LTD - FCA,2025-07-31
IBM Cloud Hosting - Recarta IT Ltd,110000.0,RECARTA IT LTD,2025-07-31
Project_4850 Research - Potentially harmful OCA online practices,79925.0,REVEALING REALITY,2025-07-31
QOC405 0900 2025-07-28 BSE to Meldreth Manor School (4seater vehicle with Passenger Assistant required) - AWARD,136771.5,CAMBRIDGE AND HUNTINGDON AIRPORT TRAVEL SERVICE,2025-07-28
"Disposal of Cannabis, Nitrous Oxide and knives",80000.0,AC ENVIRONMENTAL CONSULTING LTD,2025-07-28
UKSBS Employment Legal Advice,113500.0,DAC BEACHCROFT LLP,2025-07-28
Lot 2b - Between 9 and 16 passenger seats with Passenger Assistant for Barrow-in-Furness area closing 21 July 2025 (F4),0.0,CAREFREE TRAVEL LTD,2025-07-25
Camp Hill Rail Lines - Preparation for Entry into Service,132202.5,WEST MIDLANDS TRAINS LIMITED,2025-07-25
Lot 1a - Up to 8 passenger seats for various areas closing 21 July 2025 (F4),182400.0,N & C TAXI SERVICES,2025-07-25
Lot 1a - Up to 8 passenger seats for various areas closing 21 July 2025 (F4),182400.0,MANDM TAXIS,2025-07-25
Asbestos Surveys,50000.0,AIRTECH ANALYSIS LTD,2025-07-25
Quail AI,108000.0,QUANTIUM HEALTH LIMITED,2025-07-25
Provision of Fixed Line and Direct Routing Services to The DfE,264178.72,GAMMA TELECOM LIMITED,2025-07-24
RUGCON - Health and Safety Management Software,48645.0,EVOTIX ASSURE SOFTWARE SOLUTION,2025-07-24
Firewalling Solution 2025,2291676.47,CDW LIMITED,2025-07-24
S233 Mainstream Taxi To Kibworth mead Academy and Church Langton Primary School,11206.2,HMB (LEIC) LTD,2025-07-23
S233 Mainstream Taxi To Kibworth mead Academy and Church Langton Primary School,11206.2,TAKE ME SERVICE LTD T/A ADT TAXIS,2025-07-23
Lot 4b - Wheelchair Accessible with Passenger Assistant for Out of County area closing 21 July 2025 (F4),0.0,R & L TAXIS LTD,2025-07-22
Kent Food Waste Project,159250.0,LETTERBOX DISTRIBUTION LIMITED,2025-07-22
Professional Services,61813.9,LA INTERNATIONAL COMPUTER CONSULTANTS LIMITED,2025-07-22
"QSC191 09:00 2025-07-21 Ipswich, Suffolk to The Ryes Collee & Community, Assington, Suffolk - AWARD",97736.0,NICE TRAVEL SOLUTIONS LIMITED,2025-07-21
IMP- St Mary's Bed Extension - Architectural services,204564.44,TODD ARCHITECTS,2025-07-21
Provision of Action for Childrens Brand Shop,116000.0,SYNERGY PRINT,2025-07-21
"Learning, performance and recruitment software",696538.03,CORNERSTONE ONDEMAND LIMITED,2025-07-21
"QFX018 0900 2025-07-21 Rendlesham to Felix Primary, Maidstone Road, Felixstowe, IP11 9ED (6 seater vehicle with Passenger Assistant) required. - AWARD",180348.0,NICE TRAVEL SOLUTIONS LIMITED,2025-07-21
2025-07-21 TN139 Norton to Elmswell Primary School - AWARD,22420.0,HUNTEREXPRESS LTD,2025-07-21
2025-07-21 TN139 Norton to Elmswell Primary School - AWARD,22420.0,MICHELLE MANSELL,2025-07-21
BSMHFT Hyland Onbase Maintenance and Support,125860.58,HYLAND UK OPERATIONS LIMITED,2025-07-18
Local Transport Data Collection Alpha/Beta,263239.0,METHODS BUSINESS AND DIGITAL TECHNOLOGY LIMITED,2025-07-18
RUGCON - Risk Management Support,28950.0,RSM UK RISK ASSURANCE SERVICES LLP,2025-07-18
25-22 Management Information Toolset,241992.0,THE INFORMATION LAB LIMITED,2025-07-18
CCS028 Therapeutic Assessment to Support Education and Health Care Plan Delivery,2400000.0,ACHELOIS LTD (T/A PURPLE HOUSE CLINIC NOTTINGHAM),2025-07-17
CCS028 Therapeutic Assessment to Support Education and Health Care Plan Delivery,2400000.0,MEDICURE PROFESSIONALS LTD,2025-07-17
Functional and/or Process Safety Consultancy Services,66280.0,SANTANE LTD,2025-07-17
CCS028 Therapeutic Assessment to Support Education and Health Care Plan Delivery,2400000.0,MOMENTUM EDUCATIONAL PSYCHOLOGY,2025-07-17
CCS028 Therapeutic Assessment to Support Education and Health Care Plan Delivery,2400000.0,CREATE TALK LIMITED,2025-07-17
CCS028 Therapeutic Assessment to Support Education and Health Care Plan Delivery,2400000.0,LD PHYSIOTHERAPY TRAINING & DEVELOPMENT LTD,2025-07-17
CCS028 Therapeutic Assessment to Support Education and Health Care Plan Delivery,2400000.0,BODENS PSYCHOLOGY SERVICES LTD,2025-07-17
CCS028 Therapeutic Assessment to Support Education and Health Care Plan Delivery,2400000.0,MD PSYCH,2025-07-17
CCS028 Therapeutic Assessment to Support Education and Health Care Plan Delivery,2400000.0,LET'S TALK,2025-07-17
CCS028 Therapeutic Assessment to Support Education and Health Care Plan Delivery,2400000.0,MAY'S HUB LTD (T/A MY THERAPY SERVICES LTD),2025-07-17
Lot 1a - Up to 8 passenger seats for various areas closing 14 July 2025,115710.0,ALEX TAXIS,2025-07-16
Lot 1a - Up to 8 passenger seats for various areas closing 14 July 2025,115710.0,LA7 TAXI,2025-07-16
HBC - Laptops Replacement  - AWARD,303115.31,CCS MEDIA,2025-07-16
Lot 1a - Up to 8 passenger seats for various areas closing 14 July 2025,115710.0,NIGHT AIRPORT TAXIS,2025-07-16
Workforce Solutions,732000000.0,ALEXANDER MANN SOLUTIONS LTD (AMS),2025-07-15
Provision of Level 4 Employability Practitioner apprenticeship ST0663 to DWP employees,1350000.0,PTP TRAINING LIMITED,2025-07-14
PR2262 - Recruitment Services for Director of Resources,30780.0,GATENBYSANDERSON LTD,2025-07-14
Corporate Security Services,24000000.0,CARLISLE SECURITY SERVICES LIMITED,2025-07-12
Investment Programme 2025/26,328750.0,PA CONSULTING SERVICES LTD,2025-07-11
CA14754 - Telecare Monitoring for Karbon Homes,240000.0,CAREIUM UK LIMITED,2025-07-11
Lot 4b - Wheelchair Accessible with Passenger Assistant for Out of County area closing 10 July 2025 (F1),195912.8,LANX PRIVATE AMBULANCE SERVICE LTD.,2025-07-11
CA16189 - Stoke on Trent College - Provision of a HR Management System,158635.0,FRONTIER SOFTWARE PLC,2025-07-11
Mechanical and Electrical refurbishment works - Lathkilldale and Kirtley - AWARD,837052.0,RSPROJECTS,2025-07-11
Van Purchase - Health Sciences,28769.0,BP ROLLS (MAXUS) LIMITED,2025-07-11
CA15735 - Invitation to Quote for the provision of Apprentice Tracking Software System (New College Swindon),118275.0,TRIBAL EDUCATION,2025-07-11
MWF - Lot 1 - Wallop Primary School - Doors replacements - AWARD,5942.2,JC RAE DECORATING LTD,2025-07-11
M&E consultant refurbishment of London metropolitan archives,200000.0,BRINSON STANILAND PARTNERSHIP LTD,2025-07-11
MWF - Lot 1 - North Baddesley Infant School - Window Upgrade - AWARD,9420.0,T COLEBORN & SON LTD,2025-07-11
PLICS Managed Service,104798.0,IQVIA TECHNOLOGY SERVICES LTD.,2025-07-11
Bromsgrove Supply of Plastic Wheeled Bins via YPO 1135 lot 3,2000000.0,CRAEMER UK LIMITED,2025-07-11
AT1369 - Mobile and Data services,240000.0,VIRGIN MEDIA BUSINESS,2025-07-11
Lot 1b - Up to 8 Passenger Seats with Passenger Assistant for various areas closing 10 July 2025 (F1),955962.2,24X7 LTD,2025-07-11
CA14802 - MyKarbon Customer Portal App for Karbon Homes,2116782.0,PLENTIFIC LTD,2025-07-11
CA14415 - Learning Management System for Karbon Homes,402750.0,KALLIDUS LIMITED,2025-07-11
Internal and external decorating Summer 2025 - AWARD,213620.0,BELL DECORATING GROUP LIMITED,2025-07-11
Lot 1a - Up to 8 passenger seats  for Cartmel area closing 10 July 2025 (F1),31350.0,SANDOR SZEGI/ ALEX TAXIS,2025-07-11
"Animal Care Minor Building, Roofing and Refurbishment works  - AWARD",261009.0,DAVLYN CONSTRUCTION LTD,2025-07-11
Lot 1b - Up to 8 Passenger Seats with Passenger Assistant for various areas closing 10 July 2025 (F1),955962.2,FELL VIEW PRIVATE HIRE,2025-07-11
NEC4 Site Supervisor,72000.0,WATERMAN ASPEN LTD,2025-07-11
Lot 1b - Up to 8 Passenger Seats with Passenger Assistant for various areas closing 10 July 2025 (F1),955962.2,N&C TAXI SERVICE,2025-07-11
Ministry of Justice - Evaluation Pre-requisites: Research into Group Victim Support Interventions,179184.0,NATIONAL CENTRE FOR SOCIAL RESEARCH,2025-07-10
LNA - Lower Witham - Designer Construction Support - CDF Lot 1,69161.41,OVE ARUP & PARTNERS LIMITED,2025-07-10
Vetting Solutions Tender,210000.0,"REED SPECIALIST RECRUITMENT LIMITED,",2025-07-10
HGV Working Platforms,101475.0,FIRE LADDERS LIMITED,2025-07-10
RAM Fixed Asset Register software,170000.0,MRI SOFTWARE LIMITED,2025-07-10
con_27825-IT Health Check Services,2000000.0,FORFEND INFORMATION SECURITY LIMITED,2025-07-09
WP180 Vehicle Emissions Programme - Lot 2,155486.1,HORIBA MIRA,2025-07-09
TROP89-C05 Financial Advisors to support Rail Contracts & Projects,207956.0,GRANT THORNTON UK ADVISORY & TAX LLP,2025-07-09
CISCO HW SW Support,784997.98,AKHTER COMPUTERS LTD,2025-07-09
Student Mobility Management Platform,42380.26,QUANTUM IT EUROPE LTD,2025-07-08
WP180 Vehicle Emissions Programme - Lot 1,299925.0,MAHLE POWERTRAIN LTD,2025-07-08
YAS 44 2025_26 (DA FW) Containers Hire,42618.0,ALGECO UK LIMITED,2025-07-07
AT1433 - BTS Software for management of the housing estate,825364.68,TOTALMOBILE LIMITED,2025-07-07
BSMHFT Netcall Contact Centre,200034.0,NETCALL TECHNOLOGY LIMITED,2025-07-07
"Invitation to Tender - Chorley Town Centre,Civic Square Development",254858.74,KIER CONSTRUCTION LIMITED,2025-07-07
RDE811 - F6a. Passive sampling biota replacement feasibility study (freshwater),50000.0,UK CENTRE FOR ECOLOGY & HYDROLOGY (UKCEH),2025-07-07
Lot 1a - Up to 8 passenger seats for Barrow area closing 3 July 2025 (F2 3 day),1890.0,GTBTRANSPORTSERVICES,2025-07-04
DOCKER FOR BUSINESS LICENCES (FY2025-26),15000.0,INSIGHT DIRECT (UK) LTD,2025-07-03
DMS Delivery Management Service,580060.0,MERCATOR IT SOLUTIONS LTD,2025-07-03
UHB Assurance Dashboard,112371.13,INSIGHT DIRECT (UK) LTD,2025-07-03
Delivery of a Technology Maturity Improvement Service,3426400.0,SCC,2025-07-03
Mapping and Spatial  software suite,73895.0,ESRI (UK) LTD,2025-07-02
DDaT25253 - Hardware - Laptops,51179.0,STONE TECHNOLOGIES LTD,2025-07-01
GB-Sheffield: Change PMO Analyst,98670.0,I3WORKS,2025-06-30
Palo Alto Firewall Maintenance - AWARD,729545.71,KHIPU NETWORKS LIMITED,2025-06-30
PLACE626H Q2 2025 Roadstone  - Breedon Aggregates,96000.0,BREEDON AGGREAGTES LTD,2025-06-30
PLACE626H Q2 2025 Roadstone  - CEMEX,200000.0,CEMEX UK OPERATIONS LTD,2025-06-30
PLACE626H Q2 2025 Roadstone  - Holcim UK Ltd,96000.0,HOLCIM UK LTD,2025-06-30
Supply of E-Books,2644645.0,PROQUEST LLC,2025-06-30
PLACE626H Q2 2025 Roadstone  - Bradley Brothers Ltd,15000.0,BRADLEY BROTHERS  LTD,2025-06-30
Supply of E-Books,2644645.0,KORTEXT LIMITED,2025-06-30
Research Tool - UserTesting,255000.0,USERTESTING TECHNOLGIES LIMITED,2025-06-30
Supply of E-Books,2644645.0,A T LITTLE & SONS LTD T/A BROWNS BOOKS,2025-06-30
Supply of E-Books,2644645.0,EBSCO INTERNATIONAL INC.,2025-06-30
PLACE626H Q2 2025 Roadstone  - Stacey Asphalt,377000.0,STACEY PROCESSING LIMITED,2025-06-30
TEN-2526-017(PCR2015) Gartner Research Services,65000.0,GARTNER UK LIMITED,2025-06-30
PLACE626H Q2 2025 Roadstone  - JC Balls,6000.0,J C BALLS AND SONS,2025-06-30
Catering Contractor Procurement,289166.44,INTERNATIONAL FOOD SERVICE EQUIPMENT LTD,2025-06-27
Leisure Centre PSCA RIBA 4 via SCAPE Construction Framework,1510153.0,MORGAN SINDALL CONSTRUCTION & INFRASTRUCTURE LTD,2025-06-27
Landscape Study Procurement,43137.0,HANKINSON DUCKETT ASSOCIATES LIMITED,2025-06-26
"Fellview Primary School - Damp, Building Fabric & External Works",61663.0,MICHAEL THOMPSON LTD,2025-06-26
Food Waste Caddies,310989.0,THE COMPOST BAG COMPANY,2025-06-25
Civil Parking Enforcement System,59867.76,CHIPSIDE LIMITED,2025-06-25
LCC Transport Services - BPB - School Transport - SEND Schools - Taxi - BPB000124 - North,1615815.1,HANDSOME CABS LTD,2025-06-25
LCC Transport Services - BPB - School Transport - SEND Schools - Taxi - BPB000124 - North,1615815.1,WATAXIS,2025-06-25
LCC Transport Services - BPB - School Transport - SEND Schools - Taxi - BPB000124 - North,1615815.1,ACORN CONTRACT AND HIRE LTD,2025-06-25
LCC Transport Services - BPB - School Transport - SEND Schools - Taxi - BPB000124 - North,1615815.1,24X7 LTD,2025-06-25
LCC Transport Services - BPB - School Transport - SEND Schools - Taxi - BPB000124 - North,1615815.1,S&T CARS,2025-06-25
LCC Transport Services - BPB - School Transport - SEND Schools - Taxi - BPB000124 - North,1615815.1,G-CARS,2025-06-25
LCC Transport Services - BPB - School Transport - SEND Schools - Taxi - BPB000124 - North,1615815.1,D&T TAXIS LTD,2025-06-25
LCC Transport Services - BPB - School Transport - SEND Schools - Taxi - BPB000124 - North,1615815.1,CENTRAL CARS SKEGNESS LTD,2025-06-25
LCC Transport Services - BPB - School Transport - SEND Schools - Taxi - BPB000124 - North,1615815.1,SCARTHO CARS,2025-06-25
Cloud-based Revenues and Benefits  and Housing Information Technology Managed Service,0.0,NEC SOFTWARE SOLUTIONS UK LIMITED,2025-06-25
380_25 Supply of Catalogue Printing Services for ESPO,1200000.0,WARNERS (MIDLANDS) PLC,2025-06-24
380_25 Supply of Catalogue Printing Services for ESPO,1200000.0,WALSTEAD ROCHE LIMITED,2025-06-24
380_25 Supply of Catalogue Printing Services for ESPO,1200000.0,STERLING PRESS LIMITED,2025-06-24
AFRICA HUB_LILONGWE: PROVISION OF AIR CONDITIONING SERVICING AND MAINTENACE AT THE BRITISH HIGH COMMISSION LILONGWENANCE AT THE BRITISH HIGH COMMIS,30754.0,ADUNGA A & R ENGINEERING,2025-06-24
Minor works framework - Frizington School - Roofing Works,42486.0,MICHAEL THOMPSON LTD,2025-06-23
DNO/464 - Enterprise Portfolio Strategy Implementation - P2 - CAN,1000000.0,KPMG LLP,2025-06-23
Call-off contract for the provision of resettlement services,30000.0,BRITISH REFUGEE COUNCIL,2025-06-23
Thwaites School - Window Replacement,34487.0,ROLAND HILL (PARSONBY) LIMITED,2025-06-23
ITEP0961 - Lumivero @Risk,57571.59,LUMIVERO UK LIMITED,2025-06-22
UWQ305 - Office Supplies - AWARD,40000.0,BANNER GROUP LIMITED,2025-06-20
Food to Go DPS Contract Award Notices June 2025 - August 2025,78831476.0,RAYNOR FOODS,2025-06-19
Greenbank Primary - Fire Alarm Upgrade,48451.12,JAMIESON CONTRACTING LTD,2025-06-19
Food to Go DPS Contract Award Notices June 2025 - August 2025,78831476.0,ON A ROLL SANDWICH COMPANY LTD,2025-06-19
711280452 Electro-Magnetic Detect and Defeat (EMDaD) SME,2750000.0,TELEPLAN FORSBERG LTD,2025-06-19
Food to Go DPS Contract Award Notices June 2025 - August 2025,78831476.0,TIFFIN SANDWICHES LTD,2025-06-19
"HBC- Supply and Provision of Outdoor LED screen at Civic Offices, Borehamwood - AWARD",0.0,AUDITEL RENTAL & SERVICE LTD,2025-06-19
Design and Construction of a new Police Station at Dovercourt,3962459.02,PENTACO CONSTRUCTION LTD,2025-06-18
DHSC:GH: Global Health Workforce Programme Evaluation,298510.0,CENTER FOR EVALUATION AND DEVELOPMENT (C4ED),2025-06-18
RUGCON - Servicing & Maintenance of Fire Equipment,80000.0,SUNFISH SERVICES LIMITED,2025-06-18
St Michael in the Hamlet - Plant Room Refurbishment,96143.43,CONSORTIA INTEGRATED SERVICES LTD,2025-06-17
Children and Young People (CYP) Emotional Wellbeing Support  - AWARD,450000.0,CHUMS CIC,2025-06-17
WNC Infrastructure Audit 25/26,50000.0,HASKONINGDHV UK LIMITED,2025-06-16
The Weald Community School and 6th Form ~ Catering Tender,3365791.0,ABM CATERING LIMITED,2025-06-13
MWF - Lot 2 - Holbrook Primary School - Internal Alterations to RP - AWARD,292978.92,HAMPSHIRE PARTITIONING CONTRACTS LTD (TA HP CONTRACTS),2025-06-13
MWF Lot 5 -  Glenwood School - Re-Roof of Pitched Roof - Phase 2 - AWARD,119248.9,HAMPSHIRE PARTITIONING CONTRACTS LTD (TA HP CONTRACTS),2025-06-13
Public consultation for a new selective housing licensing scheme in Enfield,46000.0,MEL RESEARCH,2025-06-13
"Homes England - Strategic Research, Evaluation and Economics Framework - Evaluation of Oakgrove scheme",74673.0,SQW LTD,2025-06-13
"Skills Bootcamp - Wave 6, Round 1 - Category 6, Information and Communication Technology (ICT)",1072500.0,TECH EDUCATORS,2025-06-13
"Skills Bootcamp - Wave 6, Round 1 - Category 6, Information and Communication Technology (ICT)",1072500.0,FAREPORT TRAINING ORGANISATION LIMITED,2025-06-13
